frame,t,w_y8,l_y8,r_y8,w_y20,l_y20,r_y20,w_y35,l_y35,r_y35,w_y55,l_y55,r_y55,w_y75,l_y75,r_y75,w_y95,l_y95,r_y95,w_y115,l_y115,r_y115,center_dark_bottom
178,2.9667,649,470,1118,535,574,1108,473,577,1049,532,577,1108,1068,568,1635,617,494,1110,37,796,832,159
179,2.9833,648,472,1119,535,574,1108,473,577,1049,532,577,1108,1068,568,1635,617,494,1110,37,796,832,159
180,3.0,656,464,1119,535,575,1109,471,578,1048,531,578,1108,1068,568,1635,618,494,1111,37,796,832,159
181,3.0167,652,466,1117,534,575,1108,473,577,1049,532,577,1108,1068,568,1635,617,494,1110,37,796,832,159
182,3.0333,652,466,1117,534,575,1108,473,577,1049,532,577,1108,1068,568,1635,617,494,1110,37,796,832,159
183,3.05,652,466,1117,534,575,1108,473,577,1049,532,577,1108,1068,568,1635,617,494,1110,37,796,832,159
184,3.0667,652,466,1117,534,575,1108,473,577,1049,532,577,1108,1068,568,1635,617,494,1110,37,796,832,159
185,3.0833,651,468,1118,534,575,1108,473,577,1049,532,577,1108,1068,568,1635,617,494,1110,37,796,832,159
186,3.1,651,468,1118,534,575,1108,473,577,1049,532,577,1108,1068,568,1635,617,494,1110,37,796,832,159
187,3.1167,650,468,1117,535,574,1108,473,577,1049,474,577,1050,1068,568,1635,617,494,1110,37,796,832,159
188,3.1333,652,468,1119,535,574,1108,473,577,1049,474,577,1050,1068,568,1635,617,494,1110,37,796,832,159
189,3.15,651,468,1118,535,574,1108,473,577,1049,473,577,1049,1068,568,1635,617,494,1110,37,796,832,159
190,3.1667,652,468,1119,535,574,1108,473,577,1049,473,577,1049,1068,568,1635,617,494,1110,37,796,832,159
191,3.1833,652,468,1119,535,574,1108,473,577,1049,473,577,1049,1069,567,1635,617,494,1110,37,796,832,159
192,3.2,652,468,1119,535,574,1108,473,577,1049,474,577,1050,1069,567,1635,617,494,1110,37,796,832,159
193,3.2167,652,468,1119,535,574,1108,473,577,1049,474,577,1050,1069,567,1635,617,494,1110,37,796,832,159
194,3.2333,652,468,1119,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
195,3.25,652,468,1119,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
196,3.2667,650,468,1117,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
197,3.2833,650,468,1117,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
198,3.3,646,472,1117,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
199,3.3167,646,472,1117,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
200,3.3333,650,470,1119,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
201,3.35,650,470,1119,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
202,3.3667,650,470,1119,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
203,3.3833,650,470,1119,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
204,3.4,650,470,1119,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
205,3.4167,648,470,1117,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
206,3.4333,650,470,1119,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
207,3.45,650,470,1119,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
208,3.4667,650,470,1119,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
209,3.4833,650,470,1119,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
210,3.5,650,470,1119,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
